acctsessionid,acctuniqueid,username,groupname,realm,nasipaddress,nasidentifier,nasportid,nasporttype,acctstarttime,acctstoptime,acctsessiontime,acctauthentic,connectinfo_start,connectinfo_stop,acctinputoctets,acctoutputoctets,calledstationid,callingstationid,acctterminatecause,servicetype,framedprotocol,framedipaddress,acctstartdelay,acctstopdelay,xascendsessionsvrkey
e05d547b3aa2_000_0000002693_1733544787,01d7bf04da530012afb8cf830929dfc4,zxve0132@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:13","2024/12/07 4:32",1167,RADIUS,,,1856127,14748733,e0-5d-54-7b-3a-a2:cityroam,42-4b-fb-6d-28-94,User-Request,Framed-User,,172.25.30.252,,,
e05d547b39f3_000_0000003166_1733552003,3016aa0844464d3e2dcb27a010f0daa2,zxve0132@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 6:13","2024/12/07 6:19",363,RADIUS,,,1474455,2515702,e0-5d-54-7b-39-f3:cityroam,42-4b-fb-6d-28-94,User-Request,Framed-User,,172.25.30.252,,,
e05d547b39f3_000_0000007147_1733545649,f37c544f252c24d6795d51b17ca0d061,zxve0132@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:27","2024/12/07 4:33",351,RADIUS,,,244565,704180,e0-5d-54-7b-39-f3:cityroam,42-4b-fb-6d-28-94,User-Request,Framed-User,,172.25.30.252,,,
e05d547b39f3_000_0000002988_1733551508,9b721fde20d1b0464ea5968b14a15531,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 6:05","2024/12/07 6:47",2568,RADIUS,,,518631,1095211,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
e05d547b39f3_000_0000001083_1733546903,8b97a0ad42646c8e0eef257570f95357,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:48","2024/12/07 4:49",81,RADIUS,,,0,0,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,0.0.0.0,,,
e05d547b3a75_000_0000001222_1733638668,834a07cc21b4aec7ecb7432aae0a7dd7,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.102,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 6:17","2024/12/08 6:23",338,RADIUS,,,16430,42658,e0-5d-54-7b-3a-75:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
e05d547b3aa2_000_0000003062_1733546188,0d0d07f2889bcc0649e5c153ca83949d,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:36","2024/12/07 4:36",20,RADIUS,,,0,0,e0-5d-54-7b-3a-a2:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,0.0.0.0,,,
e05d547b3aa2_000_0000001289_1733628837,403911b024f3c4fb159f1b646474c785,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 3:33","2024/12/08 3:51",1055,RADIUS,,,951393,1281827,e0-5d-54-7b-3a-a2:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
e05d547b39f3_000_0000001176_1733628852,7a7883656a2990be04a4950951280774,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 3:34","2024/12/08 3:44",637,RADIUS,,,572691,1301389,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
e05d547b3a75_000_0000000057_1733536489,8594bf10a476f8e0f020bba2c88b8803,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.102,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 1:54","2024/12/07 2:06",676,RADIUS,,,15971170,14761416,e0-5d-54-7b-3a-75:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
e05d547b3a75_000_0000000333_1733625099,c7196d21db71d6423c66b834d8386113,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.102,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 2:31","2024/12/08 2:37",350,RADIUS,,,695879,1612669,e0-5d-54-7b-3a-75:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
e05d547b39f3_000_0000001835_1733541883,483955287926b639d7a9376b9f825b47,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 3:24","2024/12/07 3:28",195,RADIUS,,,32390,111648,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,0.0.0.0,,,
e05d547b3aa2_000_0000004417_1733551794,6b644fcaa1a31162b42438fc05d8c651,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 6:10","2024/12/07 6:10",2,RADIUS,,,0,0,e0-5d-54-7b-3a-a2:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,0.0.0.0,,,
e05d547b39f3_000_0000006062_1733544885,5d95d0d60c9e3f2238eb30e0afb2aa97,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:14",,1200,RADIUS,,,1852417,6241851,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,,Framed-User,,172.25.31.171,,,
e05d547b3aa2_000_0000004418_1733551803,efe37e20a95469c3360918019ec46a1e,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 6:10","2024/12/07 6:22",731,RADIUS,,,323626,3176461,e0-5d-54-7b-3a-a2:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
e05d547b39f3_000_0000001137_1733547052,e5ec4a79329b4c77ebdc5d3e48a179f0,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:50","2024/12/07 4:57",388,RADIUS,,,333752,542012,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,Lost-Carrier,Framed-User,,172.25.31.171,,,
e05d547b3a75_000_0000000207_1733538400,f5bc705c408f78f82fbf5aa92b171f4a,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.102,jphub1.nghsig.jp,"Dot11radio 1/0.",Wireless-802.11,"2024/12/07 2:26","2024/12/07 2:27",55,RADIUS,,,0,0,e0-5d-54-7b-3a-75:cityroam,ee-71-d9-60-df-3f,Lost-Carrier,Framed-User,,0.0.0.0,,,
e05d547b39f3_000_0000003801_1733633659,aea2359e087c618d843a57888582cbbc,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 4:54","2024/12/08 6:14",4817,RADIUS,,,1132180,2669329,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
e05d547b3a75_000_0000000919_1733551862,c7da456a1a579f1f0deb1250f434594b,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.102,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 6:11","2024/12/07 6:16",312,RADIUS,,,44756,118062,e0-5d-54-7b-3a-75:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
e05d547b39f3_000_0000002683_1733542938,db4914030beab1f882b578bf4fed2813,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 3:42",,300,RADIUS,,,4423,11480,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,,Framed-User,,172.25.31.171,,,
e05d547b39f3_000_0000002717_1733550953,4e8255993e87d46809d368b962361206,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 5:55","2024/12/07 6:01",362,RADIUS,,,57751,155412,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,Lost-Carrier,Framed-User,,172.25.31.171,,,
e05d547b3a75_000_0000000364_1733625490,8bea7a24a85161843a68371a026d8af2,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.102,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 2:38","2024/12/08 2:40",111,RADIUS,,,210368,2439114,e0-5d-54-7b-3a-75:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,0.0.0.0,,,
e05d547b3aa2_000_0000003295_1733637801,0b26e1f7e05f0c08fc88da65fe25e7ca,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 6:03","2024/12/08 6:04",54,RADIUS,,,0,0,e0-5d-54-7b-3a-a2:cityroam,ee-71-d9-60-df-3f,Lost-Carrier,Framed-User,,0.0.0.0,,,
e05d547b3a75_000_0000000390_1733625621,4cae17a07053323109e732eda6b3f461,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.102,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 2:40","2024/12/08 2:49",523,RADIUS,,,23269,60037,e0-5d-54-7b-3a-75:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
e05d547b3aa2_000_0000000721_1733625645,9c0a769e9445c81d7e3750ea694d275d,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 2:40","2024/12/08 2:41",48,RADIUS,,,0,0,e0-5d-54-7b-3a-a2:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,0.0.0.0,,,
e05d547b3aa2_000_0000003303_1733637861,bed8f5cb895355478cbef00fd931a1a6,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 6:04",,0,RADIUS,,,0,0,e0-5d-54-7b-3a-a2:cityroam,ee-71-d9-60-df-3f,,Framed-User,,0.0.0.0,,,
e05d547b3aa2_000_0000000156_1733537171,3024df39948871ae0b9d3d82a763c2a8,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 2:06","2024/12/07 2:10",234,RADIUS,,,103243,202159,e0-5d-54-7b-3a-a2:cityroam,ee-71-d9-60-df-3f,Lost-Carrier,Framed-User,,0.0.0.0,,,
e05d547b3a75_000_0000000220_1733538495,0771972c655533170f97890becd8e34a,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.102,jphub1.nghsig.jp,"Dot11radio 1/0.",Wireless-802.11,"2024/12/07 2:28","2024/12/07 2:28",28,RADIUS,,,0,0,e0-5d-54-7b-3a-75:cityroam,ee-71-d9-60-df-3f,Lost-Carrier,Framed-User,,0.0.0.0,,,
e05d547b3a75_000_0000000226_1733538563,d167cae82890fef30ac7250370337e1f,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.102,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 2:29","2024/12/07 2:35",391,RADIUS,,,329158,866297,e0-5d-54-7b-3a-75:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
e05d547b3aa2_000_0000000756_1733625848,aae6006e9a89317839d07c4bf3862805,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 2:44","2024/12/08 2:44",24,RADIUS,,,0,0,e0-5d-54-7b-3a-a2:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,0.0.0.0,,,
e05d547b39f3_000_0000000489_1733546610,c85333f5f922cf0d62da4f1d26a2ce4b,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:43","2024/12/07 4:44",86,RADIUS,,,0,0,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,0.0.0.0,,,
e05d547b3aa2_000_0000001220_1733541330,ac61f2930d18fb34faa153fa1d982aa3,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 3:15","2024/12/07 3:15",2,RADIUS,,,0,0,e0-5d-54-7b-3a-a2:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,0.0.0.0,,,
e05d547b3aa2_000_0000001225_1733541349,9ab09578b89678e75611e2f298970591,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 1/0.",Wireless-802.11,"2024/12/07 3:15","2024/12/07 3:28",747,RADIUS,,,121321,1265969,e0-5d-54-7b-3a-a2:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
e05d547b39f3_000_0000003997_1733554503,97c38563d97b0a9ce7f5e059b2fbd3d0,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 6:55",,300,RADIUS,,,419275,834879,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,,Framed-User,,172.25.31.171,,,
e05d547b39f3_000_0000002737_1733631927,5000313ef163c50631bf0f2c15584b0a,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 4:25","2024/12/08 4:38",785,RADIUS,,,373330,3318359,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
