Date (Tokyo Time),Hour (Tokyo Time),Access Point (AP),AP IP Address,Unique Connections
2024-12-07,9,jphub1.nghsig.jp,172.23.10.102,3
2024-12-07,10,jphub1.nghsig.jp,172.23.10.101,64
2024-12-07,10,jphub1.nghsig.jp,172.23.10.102,42
2024-12-07,10,jphub1.nghsig.jp,172.23.10.103,21
2024-12-07,11,jphub1.nghsig.jp,172.23.10.101,251
2024-12-07,11,jphub1.nghsig.jp,172.23.10.102,143
2024-12-07,11,jphub1.nghsig.jp,172.23.10.103,213
2024-12-07,12,jphub1.nghsig.jp,172.23.10.101,337
2024-12-07,12,jphub1.nghsig.jp,172.23.10.102,115
2024-12-07,12,jphub1.nghsig.jp,172.23.10.103,458
2024-12-07,13,jphub1.nghsig.jp,172.23.10.101,431
2024-12-07,13,jphub1.nghsig.jp,172.23.10.102,73
2024-12-07,13,jphub1.nghsig.jp,172.23.10.103,780
2024-12-07,14,jphub1.nghsig.jp,172.23.10.101,48
2024-12-07,14,jphub1.nghsig.jp,172.23.10.102,7
2024-12-07,14,jphub1.nghsig.jp,172.23.10.103,517
2024-12-07,15,jphub1.nghsig.jp,172.23.10.101,91
2024-12-07,15,jphub1.nghsig.jp,172.23.10.102,17
2024-12-07,15,jphub1.nghsig.jp,172.23.10.103,487
2024-12-07,16,jphub1.nghsig.jp,172.23.10.101,38
2024-12-07,16,jphub1.nghsig.jp,172.23.10.102,5
2024-12-07,16,jphub1.nghsig.jp,172.23.10.103,91
2024-12-08,9,jphub1.nghsig.jp,172.23.10.101,13
2024-12-08,9,jphub1.nghsig.jp,172.23.10.102,11
2024-12-08,9,jphub1.nghsig.jp,172.23.10.103,14
2024-12-08,10,jphub1.nghsig.jp,172.23.10.101,35
2024-12-08,10,jphub1.nghsig.jp,172.23.10.102,36
2024-12-08,10,jphub1.nghsig.jp,172.23.10.103,20
2024-12-08,11,jphub1.nghsig.jp,172.23.10.101,193
2024-12-08,11,jphub1.nghsig.jp,172.23.10.102,110
2024-12-08,11,jphub1.nghsig.jp,172.23.10.103,134
2024-12-08,12,jphub1.nghsig.jp,172.23.10.101,161
2024-12-08,12,jphub1.nghsig.jp,172.23.10.102,81
2024-12-08,12,jphub1.nghsig.jp,172.23.10.103,165
2024-12-08,13,jphub1.nghsig.jp,172.23.10.101,86
2024-12-08,13,jphub1.nghsig.jp,172.23.10.102,27
2024-12-08,13,jphub1.nghsig.jp,172.23.10.103,381
2024-12-08,14,jphub1.nghsig.jp,172.23.10.101,40
2024-12-08,14,jphub1.nghsig.jp,172.23.10.102,14
2024-12-08,14,jphub1.nghsig.jp,172.23.10.103,343
2024-12-08,15,jphub1.nghsig.jp,172.23.10.101,16
2024-12-08,15,jphub1.nghsig.jp,172.23.10.102,49
2024-12-08,15,jphub1.nghsig.jp,172.23.10.103,438
2024-12-08,16,jphub1.nghsig.jp,172.23.10.101,44
2024-12-08,16,jphub1.nghsig.jp,172.23.10.102,9
2024-12-08,16,jphub1.nghsig.jp,172.23.10.103,113
