Date (Tokyo Time),Hour (Tokyo Time),Access Point (AP),AP IP Address,Unique Connections,Cumulative Connections
2024-12-07,9,jphub1.nghsig.jp,172.23.10.102,3,3
2024-12-07,10,jphub1.nghsig.jp,172.23.10.101,64,64
2024-12-07,10,jphub1.nghsig.jp,172.23.10.102,42,45
2024-12-07,10,jphub1.nghsig.jp,172.23.10.103,21,21
2024-12-07,11,jphub1.nghsig.jp,172.23.10.101,251,315
2024-12-07,11,jphub1.nghsig.jp,172.23.10.102,143,188
2024-12-07,11,jphub1.nghsig.jp,172.23.10.103,213,234
2024-12-07,12,jphub1.nghsig.jp,172.23.10.101,337,652
2024-12-07,12,jphub1.nghsig.jp,172.23.10.102,115,303
2024-12-07,12,jphub1.nghsig.jp,172.23.10.103,458,692
2024-12-07,13,jphub1.nghsig.jp,172.23.10.101,431,1083
2024-12-07,13,jphub1.nghsig.jp,172.23.10.102,73,376
2024-12-07,13,jphub1.nghsig.jp,172.23.10.103,780,1472
2024-12-07,14,jphub1.nghsig.jp,172.23.10.101,48,1131
2024-12-07,14,jphub1.nghsig.jp,172.23.10.102,7,383
2024-12-07,14,jphub1.nghsig.jp,172.23.10.103,517,1989
2024-12-07,15,jphub1.nghsig.jp,172.23.10.101,91,1222
2024-12-07,15,jphub1.nghsig.jp,172.23.10.102,17,400
2024-12-07,15,jphub1.nghsig.jp,172.23.10.103,487,2476
2024-12-07,16,jphub1.nghsig.jp,172.23.10.101,38,1260
2024-12-07,16,jphub1.nghsig.jp,172.23.10.102,5,405
2024-12-07,16,jphub1.nghsig.jp,172.23.10.103,91,2567
2024-12-08,9,jphub1.nghsig.jp,172.23.10.101,13,13
2024-12-08,9,jphub1.nghsig.jp,172.23.10.102,11,11
2024-12-08,9,jphub1.nghsig.jp,172.23.10.103,14,14
2024-12-08,10,jphub1.nghsig.jp,172.23.10.101,35,48
2024-12-08,10,jphub1.nghsig.jp,172.23.10.102,36,47
2024-12-08,10,jphub1.nghsig.jp,172.23.10.103,20,34
2024-12-08,11,jphub1.nghsig.jp,172.23.10.101,193,241
2024-12-08,11,jphub1.nghsig.jp,172.23.10.102,110,157
2024-12-08,11,jphub1.nghsig.jp,172.23.10.103,134,168
2024-12-08,12,jphub1.nghsig.jp,172.23.10.101,161,402
2024-12-08,12,jphub1.nghsig.jp,172.23.10.102,81,238
2024-12-08,12,jphub1.nghsig.jp,172.23.10.103,165,333
2024-12-08,13,jphub1.nghsig.jp,172.23.10.101,86,488
2024-12-08,13,jphub1.nghsig.jp,172.23.10.102,27,265
2024-12-08,13,jphub1.nghsig.jp,172.23.10.103,381,714
2024-12-08,14,jphub1.nghsig.jp,172.23.10.101,40,528
2024-12-08,14,jphub1.nghsig.jp,172.23.10.102,14,279
2024-12-08,14,jphub1.nghsig.jp,172.23.10.103,343,1057
2024-12-08,15,jphub1.nghsig.jp,172.23.10.101,16,544
2024-12-08,15,jphub1.nghsig.jp,172.23.10.102,49,328
2024-12-08,15,jphub1.nghsig.jp,172.23.10.103,438,1495
2024-12-08,16,jphub1.nghsig.jp,172.23.10.101,44,588
2024-12-08,16,jphub1.nghsig.jp,172.23.10.102,9,337
2024-12-08,16,jphub1.nghsig.jp,172.23.10.103,113,1608
